stat_time_day,campaign_id,average_video_play_per_user,conversion_rate,video_views_p75,cpm,spend,video_views_p100,conversion,impressions,clicks,video_watched_2s,cpc,ctr,average_video_play,total_complete_payment_rate,engaged_view_15s,video_watched_6s,video_views_p50,video_play_actions,video_views_p25,cost_per_conversion,engaged_view,shopping,shopping_sigla,campaign_name,objective_type
2025-10-30 00:00:00,1847431714944034,1.14,0.0,9,2.2,6.95,2,0,3156,5,341,1.39,0.16,1.14,0.0,12,37,10,3134,24,0.0,38,Nacoes Shopping,NS,Alcance | Giftcard ,REACH
2025-10-30 00:00:00,1847432144410706,1.14,0.0,10,2.18,6.31,1,0,2895,0,237,0.0,0.0,1.15,0.0,22,57,19,2878,40,0.0,55,Nacoes Shopping,NS,Alcance | Chillibeans Vini ,REACH
2025-10-16 00:00:00,1844350458030129,1.5,0.0,15,2.38,16.26,10,0,6827,0,530,0.0,0.0,1.21,0.0,29,86,27,6786,83,0.0,86,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-11-01 00:00:00,1847429807403074,5.3,0.0,583,3.28,26.17,274,0,7986,0,4590,0.0,0.0,4.91,0.0,592,2486,969,7956,2494,0.0,2268,Nacoes Shopping,NS,Visualizações de vídeo | Natal ,VIDEO_VIEWS
2025-10-26 00:00:00,1844350458030129,1.1,0.0,1,1.98,1.63,1,0,825,0,45,0.0,0.0,0.98,0.0,1,6,3,824,6,0.0,6,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-06 00:00:00,1844350458030129,2.23,0.0,18,2.09,18.37,13,0,8788,0,665,0.0,0.0,1.82,0.0,25,94,35,8732,93,0.0,93,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-11-03 00:00:00,1847431181554881,3.83,0.0,125,3.64,11.56,83,0,3173,0,1443,0.0,0.0,3.64,0.0,148,369,174,3118,349,0.0,348,Nacoes Shopping,NS,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS
2025-10-10 00:00:00,1844352110838818,1.63,0.0,19,2.13,19.38,8,0,9093,0,631,0.0,0.0,1.26,0.0,52,149,27,9017,56,0.0,148,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-20 00:00:00,1844352110838818,1.44,0.0,4,2.23,13.99,1,0,6262,0,399,0.0,0.0,1.1,0.0,20,75,11,6217,25,0.0,73,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-14 00:00:00,1844350458030129,1.51,0.0,26,2.24,16.85,20,0,7536,0,557,0.0,0.0,1.2,0.0,33,89,37,7475,83,0.0,89,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
