stat_time_day,video_watched_6s,average_video_play,ctr,average_video_play_per_user,video_views_p50,profile_visits,impressions,engaged_view_15s,conversion_rate,cpc,cpm,likes,shares,video_play_actions,video_views_p25,cost_per_conversion,clicks_on_music_disc,follows,video_watched_2s,engaged_view,total_complete_payment_rate,spend,video_views_p100,comments,video_views_p75,clicks,conversion,shopping,shopping_sigla
2025-10-18 00:00:00,159,1.66,0.0,3.28,41,17,14516,49,0.0,0.0,2.13,9,0,14430,105,0.0,0,3,799,154,0.0,30.94,15,0,21,0,0,Nacoes Shopping,NS
2025-10-19 00:00:00,169,1.14,0.0,2.14,46,16,13797,62,0.0,0.0,2.13,10,0,13707,119,0.0,0,2,875,170,0.0,29.35,14,0,26,0,0,Nacoes Shopping,NS
2025-11-10 00:00:00,472,1.73,0.06,2.39,194,27,14680,195,0.0,4.61,2.83,33,0,14523,358,0.0,0,6,2082,463,0.0,41.48,80,1,121,9,0,Nacoes Shopping,NS
2025-11-13 00:00:00,3178,3.55,6.69,4.78,3130,13,18344,3142,0.0,0.07,4.78,7,1,16498,3995,0.0,0,0,4121,4048,0.0,87.77,2367,0,2866,1227,0,Nacoes Shopping,NS
2025-11-08 00:00:00,879,1.93,0.08,2.9,344,27,17885,284,0.0,3.08,2.58,38,0,17737,769,0.0,0,4,3131,803,0.0,46.16,115,1,220,15,0,Nacoes Shopping,NS
2025-11-03 00:00:00,2804,2.71,0.03,3.89,1184,55,25771,831,0.0,9.65,2.62,101,0,25540,2824,0.0,0,15,7031,2583,0.0,67.53,363,1,744,7,0,Nacoes Shopping,NS
2025-10-24 00:00:00,64,1.11,0.0,1.47,28,3,5910,21,0.0,0.0,2.36,5,0,5868,68,0.0,0,0,402,68,0.0,13.93,9,0,14,0,0,Nacoes Shopping,NS
2025-10-17 00:00:00,178,1.18,0.0,2.06,48,12,14644,60,0.0,0.0,2.29,6,0,14542,126,0.0,0,0,964,179,0.0,33.59,15,0,22,0,0,Nacoes Shopping,NS
2025-10-27 00:00:00,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Nacoes Shopping,NS
2025-11-11 00:00:00,2551,2.97,4.41,3.74,2500,28,19862,2337,0.0,0.1,4.34,9,0,16139,3187,0.0,0,3,3850,3056,0.0,86.18,1821,2,2234,875,0,Nacoes Shopping,NS
2025-11-06 00:00:00,2074,2.34,0.05,3.43,854,44,22915,598,0.0,5.93,2.85,73,0,22720,2065,0.0,0,11,5376,1883,0.0,65.24,275,4,553,11,0,Nacoes Shopping,NS
2025-11-01 00:00:00,3176,2.46,0.05,3.96,1227,72,28983,856,0.0,4.95,2.56,130,1,28781,3007,0.0,0,6,7341,2936,0.0,74.28,379,2,758,15,0,Nacoes Shopping,NS
2025-10-22 00:00:00,105,1.14,0.0,1.83,36,17,9722,38,0.0,0.0,2.6,3,1,9635,81,0.0,0,0,617,102,0.0,25.24,12,0,18,0,0,Nacoes Shopping,NS
2025-11-09 00:00:00,448,1.58,0.03,2.3,158,21,15071,169,0.0,8.04,2.67,21,0,14976,319,0.0,0,7,2066,429,0.0,40.19,68,0,106,5,0,Nacoes Shopping,NS
2025-11-04 00:00:00,3040,2.79,0.04,4.0,1159,85,26857,839,0.0,6.93,2.58,142,1,26545,2933,0.0,0,10,7642,2749,0.0,69.31,350,2,739,10,0,Nacoes Shopping,NS
2025-10-30 00:00:00,1494,2.6,0.04,4.42,689,25,13255,437,0.0,7.8,2.94,40,0,13183,1545,0.0,0,8,3585,1371,0.0,38.98,221,0,444,5,0,Nacoes Shopping,NS
2025-10-25 00:00:00,32,1.01,0.0,1.25,14,8,4005,5,0.0,0.0,2.21,0,0,3989,38,0.0,0,0,250,31,0.0,8.84,2,0,3,0,0,Nacoes Shopping,NS
2025-10-20 00:00:00,145,1.11,0.0,2.0,39,18,12737,48,0.0,0.0,2.24,7,0,12647,95,0.0,0,1,816,143,0.0,28.54,11,0,20,0,0,Nacoes Shopping,NS
2025-10-15 00:00:00,201,1.23,0.0,2.17,60,19,13922,60,0.0,0.0,2.35,7,0,13811,116,0.0,0,0,1043,194,0.0,32.7,13,0,31,0,0,Nacoes Shopping,NS
2025-12-12 00:00:00,1837,2.03,4.34,3.1,748,94,29014,1414,0.0,0.08,3.51,21,0,24425,1664,0.0,0,4,3563,2541,0.0,101.73,349,0,472,1258,0,Nacoes Shopping,NS
2025-12-07 00:00:00,2262,3.82,3.22,2.76,806,180,26315,1363,0.0,0.11,3.58,36,0,11338,1978,0.0,0,4,3435,2787,0.0,94.33,315,0,488,848,0,Nacoes Shopping,NS
2025-12-02 00:00:00,1746,2.3,5.28,3.09,889,21,19715,1342,0.0,0.07,3.69,6,1,17328,1848,0.0,0,0,2391,2368,0.0,72.75,437,0,582,1040,0,Nacoes Shopping,NS
2025-11-27 00:00:00,1755,1.64,1.99,2.79,810,28,34901,1168,0.0,0.19,3.78,18,0,33414,1694,0.0,0,4,3365,2196,0.0,131.9,463,0,573,696,0,Nacoes Shopping,NS
2025-11-22 00:00:00,1705,2.76,5.73,3.46,1786,9,14718,1638,0.0,0.08,4.38,4,0,12261,2376,0.0,0,1,2524,2227,0.0,64.4,1146,0,1435,843,0,Nacoes Shopping,NS
2025-11-17 00:00:00,2408,3.5,6.45,4.51,2401,14,16071,2518,0.0,0.07,4.81,5,0,14098,3067,0.0,0,0,3184,3126,0.0,77.23,1874,0,2205,1037,0,Nacoes Shopping,NS
2025-12-05 00:00:00,2301,3.7,3.25,2.67,792,170,27808,1385,0.0,0.1,3.29,30,2,11976,1901,0.0,0,6,3328,2856,0.0,91.44,374,0,516,905,0,Nacoes Shopping,NS
2025-12-10 00:00:00,2219,2.35,2.43,3.11,780,191,30615,1318,0.0,0.13,3.05,55,2,24106,1943,0.0,0,10,4125,2712,0.0,93.45,329,2,477,744,0,Nacoes Shopping,NS
2025-11-30 00:00:00,971,1.47,5.23,2.67,402,12,19422,960,0.0,0.08,4.1,6,0,18575,990,0.0,0,1,1658,1591,0.0,79.69,209,0,263,1015,0,Nacoes Shopping,NS
2025-11-25 00:00:00,2130,2.0,2.7,3.09,2146,19,29275,1963,0.0,0.13,3.59,18,0,27706,2814,0.0,0,3,3299,2737,0.0,105.0,1473,0,1672,790,0,Nacoes Shopping,NS
2025-11-20 00:00:00,2137,3.08,5.68,3.95,2143,24,15321,2117,0.0,0.09,4.86,4,0,14145,2816,0.0,0,0,2908,2780,0.0,74.49,1561,0,1785,870,0,Nacoes Shopping,NS
2025-11-15 00:00:00,1801,2.64,4.47,3.27,1880,29,16921,1799,0.0,0.1,4.55,4,0,14899,2509,0.0,0,1,2646,2336,0.0,77.07,1340,0,1699,756,0,Nacoes Shopping,NS
2025-12-13 00:00:00,2143,2.22,3.13,3.22,785,131,29979,1428,0.0,0.1,3.09,22,2,24808,1881,0.0,0,3,3927,2770,0.0,92.54,350,0,482,937,0,Nacoes Shopping,NS
2025-12-08 00:00:00,3284,3.48,3.6,3.95,1131,134,29389,1883,0.0,0.09,3.38,32,0,18819,2866,0.0,0,7,4777,4002,0.0,99.44,533,0,726,1057,0,Nacoes Shopping,NS
