platform,stat_time_day,conversion,clicks,spend,cpm,conversion_rate,ctr,cost_per_conversion,impressions,cpc,shopping,shopping_sigla
IPAD,2025-10-20 00:00:00,0,0,0.02,2.5,0.0,0.0,0.0,8,0.0,Nacoes Shopping,NS
UNKNOWN,2025-10-21 00:00:00,0,0,0.01,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-10-21 00:00:00,0,0,16.27,2.48,0.0,0.0,0.0,6559,0.0,Nacoes Shopping,NS
IPHONE,2025-10-21 00:00:00,0,0,10.87,2.43,0.0,0.0,0.0,4470,0.0,Nacoes Shopping,NS
IPAD,2025-10-21 00:00:00,0,0,0.03,3.0,0.0,0.0,0.0,10,0.0,Nacoes Shopping,NS
ANDROID,2025-10-22 00:00:00,0,0,16.31,2.65,0.0,0.0,0.0,6145,0.0,Nacoes Shopping,NS
IPHONE,2025-10-22 00:00:00,0,0,8.9,2.5,0.0,0.0,0.0,3564,0.0,Nacoes Shopping,NS
IPAD,2025-10-22 00:00:00,0,0,0.03,2.31,0.0,0.0,0.0,13,0.0,Nacoes Shopping,NS
UNKNOWN,2025-10-23 00:00:00,0,0,0.01,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-10-23 00:00:00,0,0,14.72,2.61,0.0,0.0,0.0,5648,0.0,Nacoes Shopping,NS
IPHONE,2025-10-23 00:00:00,0,0,8.18,2.45,0.0,0.0,0.0,3340,0.0,Nacoes Shopping,NS
IPAD,2025-10-23 00:00:00,0,0,0.04,5.71,0.0,0.0,0.0,7,0.0,Nacoes Shopping,NS
ANDROID,2025-10-24 00:00:00,0,0,8.85,2.46,0.0,0.0,0.0,3594,0.0,Nacoes Shopping,NS
IPHONE,2025-10-24 00:00:00,0,0,5.06,2.19,0.0,0.0,0.0,2310,0.0,Nacoes Shopping,NS
IPAD,2025-10-24 00:00:00,0,0,0.02,3.33,0.0,0.0,0.0,6,0.0,Nacoes Shopping,NS
ANDROID,2025-10-25 00:00:00,0,0,5.08,2.37,0.0,0.0,0.0,2144,0.0,Nacoes Shopping,NS
IPHONE,2025-10-25 00:00:00,0,0,3.75,2.02,0.0,0.0,0.0,1854,0.0,Nacoes Shopping,NS
IPAD,2025-10-25 00:00:00,0,0,0.01,1.43,0.0,0.0,0.0,7,0.0,Nacoes Shopping,NS
ANDROID,2025-10-26 00:00:00,0,0,0.93,2.0,0.0,0.0,0.0,466,0.0,Nacoes Shopping,NS
IPHONE,2025-10-26 00:00:00,0,0,0.69,1.93,0.0,0.0,0.0,358,0.0,Nacoes Shopping,NS
IPAD,2025-10-26 00:00:00,0,0,0.01,10.0,0.0,0.0,0.0,1,0.0,Nacoes Shopping,NS
ANDROID,2025-10-27 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-10-30 00:00:00,0,3,28.08,3.18,0.0,0.03,0.0,8827,9.36,Nacoes Shopping,NS
IPHONE,2025-10-30 00:00:00,0,2,10.83,2.46,0.0,0.05,0.0,4410,5.42,Nacoes Shopping,NS
IPAD,2025-10-30 00:00:00,0,0,0.07,3.89,0.0,0.0,0.0,18,0.0,Nacoes Shopping,NS
ANDROID,2025-10-31 00:00:00,0,4,50.92,3.2,0.0,0.03,0.0,15930,12.73,Nacoes Shopping,NS
IPHONE,2025-10-31 00:00:00,0,4,26.53,2.75,0.0,0.04,0.0,9641,6.63,Nacoes Shopping,NS
IPAD,2025-10-31 00:00:00,0,1,0.19,4.04,0.0,2.13,0.0,47,0.19,Nacoes Shopping,NS
ANDROID,2025-11-01 00:00:00,0,11,46.56,2.68,0.0,0.06,0.0,17392,4.23,Nacoes Shopping,NS
IPHONE,2025-11-01 00:00:00,0,4,27.52,2.39,0.0,0.03,0.0,11535,6.88,Nacoes Shopping,NS
IPAD,2025-11-01 00:00:00,0,0,0.2,3.57,0.0,0.0,0.0,56,0.0,Nacoes Shopping,NS
ANDROID,2025-11-02 00:00:00,0,13,44.43,2.7,0.0,0.08,0.0,16465,3.42,Nacoes Shopping,NS
IPHONE,2025-11-02 00:00:00,0,8,24.26,2.16,0.0,0.07,0.0,11251,3.03,Nacoes Shopping,NS
IPAD,2025-11-02 00:00:00,0,0,0.12,2.67,0.0,0.0,0.0,45,0.0,Nacoes Shopping,NS
ANDROID,2025-11-03 00:00:00,0,3,45.65,2.83,0.0,0.02,0.0,16125,15.22,Nacoes Shopping,NS
