stat_time_day,adgroup_id,conversion_rate,shares,conversion,follows,cost_per_conversion,spend,clicks,comments,cpc,impressions,profile_visits,cpm,likes,total_complete_payment_rate,ctr,clicks_on_music_disc,shopping,shopping_sigla,adgroup_name,campaign_id,optimization_goal,campaign_name
2025-06-30 00:00:00,1836105641489409,0.0,0,0,0,0.0,13.22,0,0,0.0,5208,6,2.54,5,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250627025418,1836105652221986,REACH,ALC - Cafés
2025-07-18 00:00:00,1837827365641266,0.0,3,0,2,0.0,23.21,0,1,0.0,10963,22,2.12,39,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250716025929,1837827299194945,REACH,ALC - Cafés 
2025-07-14 00:00:00,1836365159959570,0.0,0,0,1,0.0,18.79,0,0,0.0,10043,14,1.87,11,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630113815,1836365112269874,REACH,ALC - planet games
2025-07-13 00:00:00,1836105641489409,0.0,0,0,0,0.0,10.39,0,0,0.0,6099,8,1.7,3,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250627025418,1836105652221986,REACH,ALC - Cafés
2025-07-16 00:00:00,1837824011060241,0.0,0,0,0,0.0,6.3,0,0,0.0,3175,3,1.98,4,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250716020652,1837823875988513,REACH,ALC -  tendência athleisure 
2025-07-07 00:00:00,1836365576805442,0.0,0,0,1,0.0,19.52,0,1,0.0,10061,16,1.94,8,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630114506,1836365551154273,REACH,ALC - Villa - Vinicius Camilo 
2025-07-13 00:00:00,1836365576805442,0.0,0,0,2,0.0,18.07,0,1,0.0,9136,25,1.98,12,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630114506,1836365551154273,REACH,ALC - Villa - Vinicius Camilo 
2025-07-07 00:00:00,1836105641489409,0.0,0,0,0,0.0,11.12,0,0,0.0,5977,5,1.86,4,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250627025418,1836105652221986,REACH,ALC - Cafés
2025-07-17 00:00:00,1837826036867089,0.0,0,0,11,0.0,11.28,0,0,0.0,1040,2,10.85,32,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250716023832,1837825955991570,FOLLOWERS,Interação com a comunidade - Festa junina pet
2025-07-01 00:00:00,1836365159959570,0.0,0,0,3,0.0,8.18,0,0,0.0,5151,3,1.59,13,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630113815,1836365112269874,REACH,ALC - planet games
2025-07-14 00:00:00,1836105641489409,0.0,0,0,0,0.0,10.37,0,0,0.0,5722,8,1.81,2,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250627025418,1836105652221986,REACH,ALC - Cafés
2025-07-16 00:00:00,1837826036867089,0.0,0,0,8,0.0,6.63,0,0,0.0,469,3,14.14,19,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250716023832,1837825955991570,FOLLOWERS,Interação com a comunidade - Festa junina pet
2025-07-01 00:00:00,1836365576805442,0.0,1,0,1,0.0,8.22,0,2,0.0,5144,9,1.6,8,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630114506,1836365551154273,REACH,ALC - Villa - Vinicius Camilo 
2025-07-08 00:00:00,1836365159959570,0.0,0,0,4,0.0,18.34,0,0,0.0,9554,24,1.92,23,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630113815,1836365112269874,REACH,ALC - planet games
2025-07-17 00:00:00,1837824011060241,0.0,0,0,0,0.0,12.31,0,0,0.0,6200,7,1.99,3,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250716020652,1837823875988513,REACH,ALC -  tendência athleisure 
2025-07-17 00:00:00,1837827365641266,0.0,2,0,0,0.0,22.75,0,1,0.0,11330,17,2.01,22,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250716025929,1837827299194945,REACH,ALC - Cafés 
2025-07-15 00:00:00,1836365159959570,0.0,1,0,3,0.0,17.91,0,0,0.0,9003,12,1.99,19,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630113815,1836365112269874,REACH,ALC - planet games
2025-06-25 00:00:00,1834189956238466,0.0,0,0,0,0.0,6.51,0,0,0.0,2578,4,2.53,0,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250606112447,1834189805149297,REACH,Alcance - Menu Mamma Mia
2025-07-14 00:00:00,1836365576805442,0.0,1,0,5,0.0,18.94,0,0,0.0,10019,16,1.89,13,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630114506,1836365551154273,REACH,ALC - Villa - Vinicius Camilo 
2025-07-01 00:00:00,1836105641489409,0.0,0,0,0,0.0,11.81,0,0,0.0,6725,7,1.76,2,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250627025418,1836105652221986,REACH,ALC - Cafés
2025-07-17 00:00:00,1837825486146706,0.0,0,0,1,0.0,12.83,0,0,0.0,6656,7,1.93,3,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250716023106,1837825011433617,REACH,Alcance - Copo smurf 
2025-07-05 00:00:00,1836365576805442,0.0,1,0,2,0.0,19.34,0,0,0.0,9822,26,1.97,17,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630114506,1836365551154273,REACH,ALC - Villa - Vinicius Camilo 
