plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,ALC - Orion Verso,98097,123.78,,,,,,
Meta Ads,ALC | A menina mágica,67287,85.41,,,,,,
Meta Ads,ALC - Golden,334873,499.96,2874.0,620.0,333.0,144.0,,
Meta Ads,ALC | A menina mágica,0,0.0,,,,,,
Meta Ads,ALC - Gastronomia — AON,406845,695.48,4849.0,1595.0,663.0,405.0,,
Meta Ads,ALC - Promo Natal 25,466396,722.33,7558.0,2018.0,1017.0,643.0,,
Meta Ads,TRAF - Promo Natal 25,228646,725.96,32537.0,13247.0,7169.0,4648.0,,
Meta Ads,ALC - Arvore Solidária,161363,273.56,3114.0,992.0,567.0,401.0,,
Meta Ads,ALC - Mercado Shelf,72106,126.0,508.0,94.0,60.0,36.0,,
Meta Ads,ENG - Decoração Natal,16603,115.95,498.0,199.0,125.0,74.0,,
Meta Ads,ALC- Black Friday NK,495032,999.95,416.0,207.0,104.0,38.0,,
Meta Ads,ALC- Espetáculo de Natal,515613,1500.0,13.0,5.0,3.0,2.0,,
Meta Ads,VISUALIZAÇOES - ESPETACULO DE NATAL,34240,499.96,9132.0,6068.0,2871.0,2386.0,,
Meta Ads,ALC - Gastronomia — AON,693253,929.38,4657.0,1773.0,620.0,401.0,,
Meta Ads,ALC - Promo Natal 25,1292803,1638.63,4858.0,1583.0,861.0,540.0,,
Meta Ads,TRAF - Promo Natal 25,394773,1640.13,20604.0,8283.0,4668.0,2384.0,,
Meta Ads,ALC - Arvore Solidária,149880,226.42,16.0,3.0,2.0,2.0,,
Meta Ads,ALC - Mercado Shelf,114148,173.95,806.0,139.0,72.0,42.0,,
Meta Ads,ENG - Decoração Natal,19696,127.73,597.0,233.0,145.0,85.0,,
Meta Ads,ALC- Black Friday NK,0,0.0,,,,,,
Meta Ads,ALC- Inauguração Brasileirisse - Empréstimo NR,83873,132.73,689.0,315.0,202.0,147.0,,
Meta Ads,ALC - Natal NR - Empréstimo,76463,119.6,1354.0,497.0,245.0,152.0,,
Meta Ads,ALC - Feira Pet,182205,300.0,,,,,,
Meta Ads,ALC - Carrossel das Renas,330148,499.99,5469.0,3464.0,1401.0,359.0,,
Meta Ads,ALC - Decoração itens de Natal,316442,499.99,1543.0,210.0,107.0,62.0,,
Meta Ads,ALC - LOOKS DE FIM DE ANO,155036,199.93,682.0,113.0,56.0,33.0,,
Meta Ads,ALC - Amigo Secreto no NK,167900,249.98,321.0,136.0,105.0,41.0,,
Meta Ads,ALC - McDonalds,153231,199.92,1434.0,353.0,181.0,84.0,,
Meta Ads,ALC - Arezzo,231126,299.98,13701.0,4727.0,2330.0,1616.0,,
Meta Ads,ALC - Gastronomia — AON,892809,925.19,6932.0,3060.0,1151.0,731.0,,
Meta Ads,ALC - Promo Natal 25,751465,616.46,2818.0,1035.0,503.0,322.0,,
Meta Ads,TRAF - Promo Natal 25,126359,495.0,7775.0,2639.0,1865.0,1498.0,,
Meta Ads,ALC - Arena Super Games,1214730,1656.37,12296.0,4810.0,1943.0,1270.0,,
Meta Ads,ALC - LIQUIDA,1525504,2997.7,25741.0,10409.0,6213.0,4463.0,,
Meta Ads,ALC - Cinema - AON,310770,358.37,43706.0,17475.0,9326.0,6568.0,,
Meta Ads,ALC - Gastronomia — AON,137474,152.73,1054.0,415.0,166.0,99.0,,
Meta Ads,ALC - Arena Super Games,355502,428.58,5861.0,2185.0,907.0,560.0,,
Meta Ads,ALC - Cinema - AON,181582,176.07,24648.0,10202.0,6144.0,4701.0,,
Meta Ads,ALC - Coleção Boca Rosa Adidas,7912,10.41,128.0,63.0,27.0,19.0,,
Meta Ads,ALC - Oficinas de Carnaval no Neumarkt Shopping,6583,7.12,,,,,,
Meta Ads,ENG - Conteúdos - Fev,4208,20.1,118.0,55.0,34.0,21.0,,
Meta Ads,ALC - Gastronomia — AON,578026,687.05,3974.0,1647.0,517.0,335.0,,
Meta Ads,ALC - Arena Super Games,1106887,1414.91,19249.0,7025.0,2738.0,1691.0,,
Meta Ads,ALC - Cinema - AON,746809,803.88,98313.0,37246.0,20649.0,14681.0,,
Meta Ads,ALC - Coleção Boca Rosa Adidas,139994,180.34,2272.0,1054.0,361.0,202.0,,
Meta Ads,ALC - Oficinas de Carnaval no Neumarkt Shopping,125167,133.28,,,,,,
Meta Ads,ENG - Conteúdos - Fev,136648,758.05,22616.0,11764.0,7220.0,5183.0,,
Meta Ads,ALC - Semana do Cinema,157485,199.92,1626.0,819.0,207.0,124.0,,
Meta Ads,ALC- Valentine's Day,71284,99.94,524.0,97.0,62.0,40.0,,
Meta Ads,ALC - Moda Feminina,90156,106.45,1501.0,715.0,260.0,146.0,,
Meta Ads,ALC - Feira Pet NK,188752,200.0,,,,,,
Meta Ads,ALC - Promoção Meu Méqui,15725,21.69,,,,,,
Meta Ads,ALC - Poker NK,27385,37.78,600.0,206.0,102.0,47.0,,
Meta Ads,ENG - POKER,4893,43.29,156.0,54.0,34.0,20.0,,
Meta Ads,ALC - General Ly,18845,24.87,135.0,43.0,27.0,16.0,,
Meta Ads,ALC - Exposição Telomar,18059,24.35,155.0,41.0,23.0,17.0,,
Meta Ads,ALC - Legueiros,53514,65.65,,,,,,
Meta Ads,ALC - Gastronomia — AON,415747,500.92,2727.0,957.0,405.0,250.0,,
Meta Ads,ALC - Cinema - AON,411376,441.53,99526.0,40425.0,23283.0,17209.0,,
Meta Ads,ALC - Moda Feminina,116570,143.5,1836.0,844.0,305.0,182.0,,
Meta Ads,ALC - Promoção Meu Méqui,54617,61.91,,,,,,
Meta Ads,ALC - Poker NK,32275,35.14,624.0,215.0,99.0,47.0,,
Meta Ads,ENG - POKER,6905,40.28,201.0,80.0,52.0,33.0,,
Meta Ads,ALC - General Ly,252869,315.59,1763.0,494.0,301.0,173.0,,
Meta Ads,ALC - Exposição Telomar,217058,268.38,2275.0,694.0,381.0,251.0,,
Meta Ads,ALC - Legueiros,1321255,1723.22,1734.0,382.0,193.0,131.0,,
