hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
6,Google Ads,205,42,3.483954,27.366666,20.48780487804878,0.08295128571428571
7,Google Ads,550,121,8.574669,90.833334,22.0,0.07086503305785125
8,Google Ads,1421,307,21.122151,216.237933,21.60450387051372,0.06880179478827361
9,Google Ads,2568,535,36.252869,410.246834,20.833333333333336,0.06776237196261682
10,Google Ads,3802,860,57.594833,681.185401,22.619673855865337,0.06697073604651163
11,Google Ads,4505,1051,73.467834,800.208007,23.329633740288568,0.06990279162702188
12,Google Ads,4996,1268,80.982362,918.806987,25.380304243394715,0.06386621608832807
13,Google Ads,5201,1302,82.829505,1141.254599,25.033647375504707,0.06361713133640552
14,Google Ads,4861,1225,79.602749,1006.488944,25.200576013166014,0.06498183591836736
15,Google Ads,4526,1120,75.164506,946.79725,24.74591250552364,0.06711116607142857
16,Google Ads,4183,957,64.836692,818.34548,22.878316997370305,0.06774993939393939
17,Google Ads,3830,859,57.273788,778.809117,22.428198433420366,0.06667495692665891
18,Google Ads,3084,712,47.263288,663.565298,23.086900129701686,0.06638102247191012
19,Google Ads,2413,525,30.753127,397.1477,21.75714877745545,0.05857738476190476
20,Google Ads,1972,399,24.675697,312.202378,20.233265720081135,0.06184385213032581
21,Google Ads,1260,269,15.579651,195.833335,21.349206349206348,0.057916918215613386
22,Google Ads,993,217,13.194764,259.986664,21.852970795568982,0.060805364055299536
23,Google Ads,535,120,6.501541,114.67421,22.429906542056074,0.05417950833333333
0,Google Ads,300,80,4.182595,58.199998,26.666666666666668,0.0522824375
1,Google Ads,130,35,1.927668,23.916666,26.923076923076923,0.05507622857142857
2,Google Ads,87,19,0.773727,10.45,21.839080459770116,0.04072247368421053
3,Google Ads,47,9,0.671007,4.5,19.148936170212767,0.07455633333333334
4,Google Ads,53,11,0.417628,4.0,20.754716981132077,0.037966181818181816
5,Google Ads,75,22,1.461063,20.833334,29.333333333333332,0.06641195454545455
6,Google Ads,311,65,4.369456,121.027652,20.90032154340836,0.06722239999999999
7,Google Ads,688,194,13.551072,196.22796,28.197674418604652,0.06985088659793814
8,Google Ads,1163,303,17.776961,294.610254,26.053310404127256,0.058669838283828386
9,Google Ads,1916,474,27.556463,405.990461,24.739039665970772,0.05813599789029536
10,Google Ads,2465,633,38.917109,613.90255,25.67951318458418,0.061480424960505535
11,Google Ads,2702,637,39.51324,564.437504,23.57512953367876,0.06203020408163266
12,Google Ads,3345,820,47.740272,656.783343,24.51420029895366,0.05821984390243902
13,Google Ads,3126,763,44.543538,615.323548,24.408189379398593,0.05837947313237221
14,Google Ads,2856,708,43.254209,536.031288,24.789915966386555,0.06109351553672317
15,Google Ads,2909,721,41.386283,614.501139,24.785149535922997,0.057401224687933426
16,Google Ads,3093,728,46.855196,573.513692,23.537019075331393,0.06436153296703297
17,Google Ads,3208,802,53.077602,741.48495,25.0,0.06618154862842893
18,Google Ads,3223,808,51.818823,697.651749,25.069810735339747,0.06413220668316832
19,Google Ads,2736,637,38.715616,572.16526,23.28216374269006,0.06077804709576138
20,Google Ads,2154,542,31.141571,478.14901,25.162488393686168,0.05745677306273063
21,Google Ads,1509,345,19.819131,226.690873,22.86282306163022,0.057446756521739126
22,Google Ads,1110,264,13.772406,154.143553,23.783783783783786,0.052168204545454545
23,Google Ads,580,135,8.065885,109.258894,23.275862068965516,0.05974729629629629
0,Google Ads,323,107,5.650475,65.374604,33.126934984520126,0.052808177570093456
1,Google Ads,170,40,2.674881,18.942307,23.52941176470588,0.066872025
2,Google Ads,79,20,0.917936,12.204267,25.31645569620253,0.0458968
3,Google Ads,82,26,1.544632,18.864605,31.70731707317073,0.059408923076923074
4,Google Ads,52,14,0.640443,4.916666,26.923076923076923,0.04574592857142857
5,Google Ads,148,43,2.520313,38.352381,29.054054054054053,0.05861193023255813
6,Google Ads,361,84,5.248746,66.312501,23.26869806094183,0.062485071428571425
7,Google Ads,833,214,14.651861,140.42619,25.690276110444177,0.0684666401869159
8,Google Ads,1538,401,24.000052,273.30552,26.072821846553968,0.05985050374064838
9,Google Ads,2294,532,32.43261,401.549532,23.190932868352224,0.06096355263157894
10,Google Ads,2708,676,42.288815,554.434793,24.963072378138847,0.06255741863905326
11,Google Ads,3047,755,46.608773,563.100676,24.778470626846076,0.06173347417218543
12,Google Ads,3563,872,57.578419,664.039621,24.47375806904294,0.06603029701834862
13,Google Ads,3273,794,53.880033,658.179299,24.25908952031775,0.06785898362720402
14,Google Ads,2970,713,50.133929,526.504951,24.006734006734007,0.07031406591865358
15,Google Ads,3067,722,46.263959,478.041,23.540919465275515,0.06407750554016621
16,Google Ads,2847,632,43.096782,475.457978,22.1988057604496,0.06819111075949366
17,Google Ads,3085,721,48.873825,558.539284,23.371150729335493,0.06778616504854368
