shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,0,TUESDAY,14,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,TUESDAY,9,1,0.1111111111111111,0.61,0.0,0.0
GERAL,GERAL,0,TUESDAY,1550,36,0.023225806451612905,7.016823,1.0,0.0
GERAL,GERAL,0,TUESDAY,75,4,0.05333333333333334,1.122472,0.0,0.0
GERAL,GERAL,0,TUESDAY,1444,6,0.004155124653739612,4.180249,54.0,0.0
GERAL,GERAL,0,TUESDAY,739,1,0.0013531799729364006,3.00498,0.0,0.0
GERAL,GERAL,0,TUESDAY,937,3,0.0032017075773745998,2.172851,23.5,0.0
GERAL,GERAL,0,TUESDAY,1746,3,0.001718213058419244,6.137584,1.0,0.0
GERAL,GERAL,0,TUESDAY,2074,4,0.0019286403085824494,6.311408,0.0,0.0
GERAL,GERAL,0,TUESDAY,2185,1,0.0004576659038901602,7.056601,4.0,0.0
GERAL,GERAL,0,TUESDAY,2389,1,0.0004185851820845542,6.871803,3.0,0.0
GERAL,GERAL,0,TUESDAY,2117,1,0.0004723665564478035,7.207278,2.0,0.0
GERAL,GERAL,0,TUESDAY,1964,1,0.0005091649694501018,7.038763,0.0,0.0
GERAL,GERAL,0,TUESDAY,133,1,0.007518796992481203,0.462071,0.0,0.0
GERAL,GERAL,0,TUESDAY,197,0,0.0,0.761054,0.0,0.0
GERAL,GERAL,0,TUESDAY,432,0,0.0,1.409062,0.0,0.0
GERAL,GERAL,0,TUESDAY,172,14,0.08139534883720931,2.31,10.0,0.0
GERAL,GERAL,0,TUESDAY,63,7,0.1111111111111111,2.021889,3.0,0.0
GERAL,GERAL,0,TUESDAY,1057,0,0.0,3.315562,5.0,0.0
GERAL,GERAL,0,TUESDAY,1203,2,0.0016625103906899418,3.896375,3.0,0.0
GERAL,GERAL,0,TUESDAY,61,6,0.09836065573770492,1.099762,8.333333,0.0
GERAL,GERAL,0,TUESDAY,66,3,0.045454545454545456,0.35,0.0,0.0
GERAL,GERAL,0,TUESDAY,999,0,0.0,3.209861,1.0,0.0
GERAL,GERAL,0,TUESDAY,971,2,0.0020597322348094747,3.080152,1.0,0.0
GERAL,GERAL,0,TUESDAY,968,1,0.0010330578512396695,2.921788,0.0,0.0
GERAL,GERAL,0,TUESDAY,54,7,0.12962962962962962,3.342686,9.0,0.0
GERAL,GERAL,0,TUESDAY,53,6,0.11320754716981132,1.64,2.1875,0.0
GERAL,GERAL,0,TUESDAY,207,7,0.033816425120772944,0.813619,1.0,0.0
GERAL,GERAL,0,TUESDAY,153,3,0.0196078431372549,0.326723,0.0,0.0
GERAL,GERAL,0,TUESDAY,569,9,0.015817223198594025,1.602587,6.0,0.0
GERAL,GERAL,0,TUESDAY,450,3,0.006666666666666667,4.276291,2.0,0.0
GERAL,GERAL,0,TUESDAY,506,18,0.03557312252964427,3.861486,8.0,0.0
GERAL,GERAL,0,TUESDAY,1038,1,0.0009633911368015414,3.411924,0.0,0.0
GERAL,GERAL,0,TUESDAY,392,10,0.025510204081632654,5.327953,7.0,0.0
GERAL,GERAL,0,TUESDAY,2968,1,0.00033692722371967657,10.592557,66.0,0.0
GERAL,GERAL,0,TUESDAY,1024,21,0.0205078125,2.818152,0.0,0.0
GERAL,GERAL,0,TUESDAY,4278,5,0.0011687704534829358,11.795916,2.0,0.0
GERAL,GERAL,0,TUESDAY,991,1,0.0010090817356205853,2.875323,18.0,0.0
GERAL,GERAL,0,TUESDAY,226,0,0.0,0.678879,1.0,0.0
GERAL,GERAL,0,TUESDAY,294,1,0.003401360544217687,0.48557,0.0,0.0
GERAL,GERAL,0,TUESDAY,169,0,0.0,0.484762,1.0,0.0
GERAL,GERAL,0,TUESDAY,173,0,0.0,0.614737,2.0,0.0
GERAL,GERAL,0,TUESDAY,197,0,0.0,0.707751,1.0,0.0
GERAL,GERAL,0,TUESDAY,248,0,0.0,0.748739,1.0,0.0
GERAL,GERAL,0,TUESDAY,44,4,0.09090909090909091,0.050695,0.0,0.0
GERAL,GERAL,0,TUESDAY,28,0,0.0,0.023769,0.0,0.0
GERAL,GERAL,0,TUESDAY,28,2,0.07142857142857142,0.041356,0.0,0.0
GERAL,GERAL,0,TUESDAY,97,3,0.030927835051546393,0.122825,0.0,0.0
GERAL,GERAL,0,TUESDAY,4025,0,0.0,8.209595,92.0,0.0
GERAL,GERAL,0,TUESDAY,73,2,0.0273972602739726,0.078289,0.0,0.0
GERAL,GERAL,0,TUESDAY,18,0,0.0,0.050825,0.0,0.0
GERAL,GERAL,0,TUESDAY,1,1,1.0,0.22,1.0,0.0
GERAL,GERAL,0,TUESDAY,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,TUESDAY,546,0,0.0,1.198856,0.0,0.0
GERAL,GERAL,0,TUESDAY,197,0,0.0,0.618109,0.0,0.0
GERAL,GERAL,0,TUESDAY,228,0,0.0,0.706559,0.0,0.0
GERAL,GERAL,0,TUESDAY,202,0,0.0,0.654878,0.0,0.0
GERAL,GERAL,0,TUESDAY,4629,19,0.004104558219917909,13.099394,5.0,0.0
GERAL,GERAL,0,TUESDAY,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,TUESDAY,158,0,0.0,0.501916,0.0,0.0
GERAL,GERAL,0,TUESDAY,2,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,TUESDAY,2,1,0.5,0.14,1.0,0.0
GERAL,GERAL,0,TUESDAY,67,0,0.0,0.395807,0.0,0.0
GERAL,GERAL,0,TUESDAY,81,3,0.037037037037037035,0.318125,3.0,0.0
GERAL,GERAL,0,TUESDAY,19,1,0.05263157894736842,0.130567,0.0,0.0
GERAL,GERAL,0,TUESDAY,5,0,0.0,0.0,0.0,0.0
